A;E;I;O;U
41;26;20;31;15
37;29;19;43;6
32;32;11;34;16
38;16;23;42;16
33;28;27;27;14
38;24;23;38;18
42;27;25;33;15
38;17;18;28;22
35;15;25;33;23
44;37;23;43;19
38;29;18;26;6
42;25;20;48;10
42;27;20;33;22
42;20;14;34;20
40;30;21;41;15
28;29;17;31;13
26;33;21;36;17
35;27;17;35;20
48;26;21;34;18
36;24;18;33;20
38;18;16;31;7
39;24;27;35;16
42;29;12;37;6
40;33;16;27;21
33;26;25;29;11
43;26;10;33;16
37;33;26;42;13
37;32;20;35;21
36;24;22;27;12
44;26;18;34;16
33;31;33;37;14
41;14;18;30;22
56;19;15;57;18
32;23;19;32;21
32;30;19;41;13
34;21;25;39;21
35;26;28;31;14
28;22;20;47;18
28;22;25;31;16
34;24;23;34;19
34;26;28;29;14
39;30;26;45;16
28;20;19;40;18
33;24;12;49;17
42;20;15;34;7
28;21;13;33;11
36;34;17;32;19
33;21;19;31;11
38;18;11;33;15
31;26;20;33;22
37;20;22;43;7
27;15;26;31;15
39;31;19;41;14
53;26;11;52;28
22;22;24;44;6
38;25;30;37;19
36;27;25;37;16
37;31;14;37;19
37;22;17;36;24
31;31;22;31;16
40;25;31;40;18
34;30;21;42;15
33;26;21;35;13
40;18;9;41;28
35;18;11;39;16
33;26;22;40;22
37;23;19;40;18
36;19;23;26;14
43;22;19;35;10
29;31;19;35;13
34;26;18;35;21
32;31;17;34;17
42;23;25;39;12
34;39;19;35;8
25;19;21;42;24
32;27;25;33;11
44;20;16;32;13
32;27;16;27;17
53;21;19;59;18
33;27;13;38;11
33;25;18;41;16
38;24;21;35;20
27;25;19;39;22
33;31;13;28;14
33;20;16;34;9
30;21;18;41;12
33;25;20;40;20
32;26;21;36;15
32;20;18;35;22
43;24;25;35;11
32;23;17;40;12
25;29;23;33;13
49;20;16;57;4
32;24;17;31;11
40;24;9;27;25
46;24;19;33;19
30;32;13;40;12
24;19;28;36;17
30;22;16;36;21
36;15;21;40;10
34;28;19;43;18
54;31;23;51;9
42;19;23;42;18
34;23;21;39;13
55;35;18;51;18
42;23;19;33;17
40;26;20;44;14
30;30;15;39;7
38;21;23;31;6
37;18;21;45;21
27;24;24;32;14
43;28;18;43;6
35;28;24;36;12
40;21;18;29;10
40;22;22;38;12
41;21;20;27;14
60;36;27;53;20
26;21;25;43;14
33;19;21;39;15
43;22;22;33;12
33;17;19;34;13
29;18;21;33;11
30;23;12;36;9
39;24;27;29;12
35;24;8;33;18
31;28;17;37;19
34;22;20;36;10
32;37;25;34;22
37;24;23;33;9
30;22;7;38;9
37;29;13;25;15
41;21;7;42;18
